English,中文
You have to believe in yourself when no one else does. —Serena Williams,当没有人相信你时，你必须相信自己。——塞雷娜·威廉姆斯
"When you have a dream, you’ve got to grab it and never let go. —Carol Burnett",当你有梦想时，你必须抓住它，永不放弃。——卡罗尔·伯内特
The most important thing is to enjoy your life—to be happy—it’s all that matters. —Steve Jobs,最重要的是享受生活，快乐生活，这才是最重要的。——史蒂夫·乔布斯
Spread love everywhere you go. Let no one ever come without leaving happier. —Mother Teresa,无论你走到哪里，都要传播爱。让每一个人都带着快乐离开。——特蕾莎修女
Be yourself; everyone else is already taken. —Oscar Wilde,做你自己，其他人都已经被别人占了。——奥斯卡·王尔德
The biggest adventure you can take is to live the life of your dreams. —Oprah Winfrey,你能经历的最大冒险就是过上你梦想的生活。——奥普拉·温弗瑞
The only thing we have to fear is fear itself. —Franklin D. Roosevelt,我们唯一需要恐惧的就是恐惧本身。——富兰克林·罗斯福
"Some people want it to happen, some wish it would happen, others make it happen. —Michael Jordan",有些人希望它发生，有些人希望它发生，而其他人则让它发生。——迈克尔·乔丹
You’ve got to be in it to win it. —Tony Robbins,你必须全力以赴才能获胜。——托尼·罗宾斯
"It does not matter how slowly you go, as long as you do not stop. —Confucius",无论你走得多慢，只要你不停下就行。——孔子
Find out who you are and do it on purpose. —Dolly Parton,找出你是谁，并有意识地去做。——多莉·帕顿
"For me, becoming isn’t about arriving somewhere or achieving a certain aim. I see it instead as forward motion, a means of evolving, a way to reach continuously toward a better self. The journey doesn’t end. —Michelle Obama",对我来说，成长并不意味着到达某个地方或实现某个目标。相反，我将其视为前进的动力，一种进化的方式，一种不断追求更好的自我的方式。旅程永无止境。——米歇尔·奥巴马
Confident people have a way of carrying themselves that makes others attracted to them. —Sofia Vergara,自信的人有一种让别人被他们吸引的方式。——索菲娅·维加拉
"If you can do what you do best and be happy, you are further along in life than most people. —Leonardo DiCaprio",如果你能做自己最擅长的事并且感到快乐，那么你的人生就比大多数人更美好。——莱昂纳多·迪卡普里奥
You can be everything. You can be the infinite amount of things that people are. —Kesha,你可以成为一切。你可以成为无数种人。——Kesha
Always go with your passions. Never ask yourself if it’s realistic or not. —Deepak Chopra,永远追随你的激情。永远不要问自己这是否现实。——迪帕克·乔布拉
"When you change your thoughts, remember to also change your world. —Norman Vincent Peale",当你改变想法时，记得也改变你的世界。——诺曼·文森特·皮尔
"The more you know who you are, and what you want, the less you let things upset you. —Stephanie Perkins",你越了解自己是谁、你想要什么，你就越不会让事情困扰你。——斯蒂芬妮·珀金斯
"By being yourself, you put something wonderful in the world that was not there before. —Edwin Elliot",做你自己，你给这个世界带来了一些以前不存在的美好。——埃德温·艾略特
Do one thing every day that scares you. —Eleanor Roosevelt,每天做一件让你害怕的事情。——埃莉诺·罗斯福
It is never too late to be what you might have been. —George Elliot,成为你想成为的人，永远不会太晚。——乔治·艾略特
"Find out who you are and be that person. That’s what your soul was put on this earth to be. Find the truth, live that truth, and everything else will come. —Ellen DeGeneres",找到自己，然后成为那个人。这就是你的灵魂来到这个世界上的意义。找到真理，活出真理，其他一切都会水到渠成。——艾伦·德杰尼勒斯
"When we are no longer able to change a situation, we are challenged to change ourselves. —Viktor E. Frankl",当我们不再有能力改变现状时，我们就面临着改变自己的挑战。——维克多·弗兰克尔
"If you cannot do great things, do small things in a great way. —Napoleon Hill",如果你不能做伟大的事情，那就以伟大的方式做小事。——拿破仑·希尔
"Always do your best. What you plant now, you will harvest later. —Og Mandino",永远尽你所能。你现在种什么，将来就会收获什么。——奥格·曼迪诺
Get busy living or get busy dying. —Stephen King,要么忙着活，要么忙着死。——斯蒂芬·金
In three words I can sum up everything I’ve learned about life: It goes on. ―Robert Frost,我可以用三个词来概括我对生活的所有认识：生活还在继续。—罗伯特·弗罗斯特
"You can’t help what you feel, but you can help how you behave. ―Margaret Atwood",你无法控制自己的感受，但你可以控制自己的行为。—玛格丽特·阿特伍德
No need to hurry. No need to sparkle. No need to be anybody but oneself. ―Virginia Woolf,无需匆忙。无需闪耀。无需成为任何人，只需做自己。 ―弗吉尼亚·伍尔夫
"Promise me you’ll always remember: You’re braver than you believe, and stronger than you seem, and smarter than you think. —A. A. Milne",答应我，你会永远记住：你比你想象的更勇敢，比你表现的更强大，比你想象的更聪明。——AA米尔恩
"Failure is a great teacher and, if you are open to it, every mistake has a lesson to offer. —Oprah Winfrey",失败是一位伟大的老师，如果你能坦然面对，每一次错误都会给你带来教训。——奥普拉·温弗瑞
"If you don’t like the road you’re walking, start paving another one. —Dolly Parton",如果你不喜欢你正在走的路，那就开始铺另一条路。——多莉·帕顿
Don’t let yesterday take up too much of today.—Will Rogers,不要让昨天占据太多的今天。——威尔·罗杰斯
"Keep smiling, because life is a beautiful thing and there’s so much to smile about. —Marilyn Monroe",保持微笑，因为生活很美好，有很多值得微笑的事情。——玛丽莲·梦露
Be persistent and never give up hope. —George Lucas,坚持不懈，永不放弃希望。——乔治·卢卡斯
"When we strive to become better than we are, everything around us becomes better too. —Paulo Coelho",当我们努力变得比现在更好时，我们周围的一切也会变得更好。——保罗·科埃略
Believe and act as if it were impossible to fail. —Charles Kettering,相信并采取行动，好像不可能失败一样。——查尔斯·凯特林
There are so many great things in life; why dwell on negativity? —Zendaya,生活中有这么多美好的事情；为什么要纠结于消极的事情？——Zendaya
Happiness often sneaks in through a door you didn’t know you left open. —John Barrymore,幸福常常会从你不知道打开的门里偷偷溜进来。——约翰·巴里摩尔
Always remember that you are absolutely unique. Just like everyone else. —Margaret Mead,永远记住，你是独一无二的。就像其他人一样。——玛格丽特·米德
Keep your face towards the sunshine and shadows will fall behind you. —Walt Whitman,面向阳光，阴影就会被抛在身后。——沃尔特·惠特曼
A problem is a chance for you to do your best. —Duke Ellington,问题正是让你做到最好的机会。——艾灵顿公爵
"You don’t always need a plan. Sometimes you just need to breathe, trust, let go and see what happens. —Mandy Hale",你并不总是需要一个计划。有时你只需要呼吸、信任、放手，看看会发生什么。——曼迪·黑尔
Nothing is impossible. The word itself says ‘I’m possible!’ —Audrey Hepburn,没有什么是不可能的。这个词本身就表明‘我有可能！’——奥黛丽·赫本
Life does not have to be perfect to be wonderful. —Annette Funicello,生活不一定要完美才精彩。——安妮特·富尼切洛
It is during our darkest moments that we must focus to see the light. —Aristotle,在我们最黑暗的时刻，我们必须集中精力才能看到光明。——亚里士多德
The best way out is through. —Robert Frost,最好的出路就是坚持下去。——罗伯特·弗罗斯特
Don’t be afraid to give up the good to go for the great. —John D. Rockefeller,不要害怕放弃好的，去追求伟大的。——约翰·D·洛克菲勒
"Whether you think you can or you can’t, you’re right. —Henry Ford",无论你认为你能还是不能，你都是对的。——亨利·福特
"Don’t take yourself too seriously. Know when to laugh at yourself, and find a way to laugh at obstacles that inevitably present themselves. —Halle Bailey",不要太严肃地对待自己。知道何时嘲笑自己，并找到一种方法来嘲笑不可避免的障碍。——哈莉·贝利
Love the life you live. Live the life you love. —Bob Marley,热爱你所过的生活。过你所爱的生活。——鲍勃·马利
Keep your face towards the sunshine and shadows will fall behind you. —Walt Whitman,面向阳光，阴影就会被抛在身后。——沃尔特·惠特曼
The only person you are destined to become is the person you decide to be. —Ralph Waldo Emerson,你注定会成为什么样的人，取决于你决定成为什么样的人。——拉尔夫·沃尔多·爱默生
I’m not going to continue knocking that old door that doesn’t open for me. I’m going to create my own door and walk through that. —Ava DuVernay,我不会继续敲那扇不为我打开的旧门。我要创造自己的门，然后走进去。——Ava DuVernay
"If you change the way you look at things, the things you look at change. —Wayne Dyer",如果你改变看待事物的方式，你所看到的东西就会改变。——韦恩·戴尔
"I believe that if you’ll just stand up and go, life will open up for you. Something just motivates you to keep moving. —Tina Turner",我相信，只要你站起来，向前走，生活就会为你敞开。总有一些东西会激励你继续前行。——蒂娜·特纳
"Once you face your fear, nothing is ever as hard as you think. —Olivia Newton-John",一旦你直面恐惧，没有什么事情会像你想象的那么困难。——奥莉维亚·纽顿-约翰
"Next time, ask ‘What’s the worst that will happen?’ Then push yourself a little further than you dare. —Audre Lorde",下次，问问自己‘最糟糕的情况是什么？’然后稍微挑战一下自己，不要太冒险。——奥德丽·洛德
Dreams do not come true just because you dream them. It’s hard work that makes things happen. It’s hard work that creates change. —Shonda Rhimes,梦想不会因为你有梦想就实现。只有努力工作才能让梦想成真。只有努力工作才能带来改变。——Shonda Rhimes
"Let us make our future now, and let us make our dreams tomorrow’s reality. —Malala Yousafzai",让我们现在创造我们的未来，让我们明天的梦想成为现实。——马拉拉·优素福扎伊
inspirational quote by viola davis,维奥拉·戴维斯的励志名言
Inspirational quotes about the future,关于未来的励志名言
"You will face many defeats in life, but never let yourself be defeated. —Maya Angelou",你在一生中会面临许多失败，但永远不要让自己被打败。——玛雅·安吉罗
The future belongs to those who believe in the beauty of their dreams. —Eleanor Roosevelt,未来属于那些相信梦想之美的人。——埃莉诺·罗斯福
"Take the time to enjoy the little things, for one day you may look back and realize they were the big things. —Robert Brault",花点时间享受小事，因为有一天你回头一看，可能会意识到它们就是大事。——罗伯特·布劳特
The future is not something we enter. The future is something we create. —Leonard I. Sweet,未来不是我们能进入的，而是我们能创造的。——伦纳德·I·斯威特
Life has got those twists and turns. You’ve got to hold on tight and off you go. —Nicole Kidman,生活总是充满曲折。你必须坚持下去，然后继续前行。——妮可·基德曼
The future belongs to those who prepare for it today. —Malcolm X,未来属于今天做好准备的人。——马尔科姆·X
Don’t wait around for other people to be happy for you. Any happiness you get you’ve got to make yourself. —Alice Walker,不要等着别人为你高兴。任何快乐都是你自己创造的。——爱丽丝·沃克
You miss 100% of the shots you don’t take. —Wayne Gretzky,如果你没有投中，你就会错过 100% 的投篮。——韦恩·格雷茨基
Life is a long lesson in humility. —James M. Barrie,生活是一堂长期的谦卑之课。——詹姆斯·M·巴里
You define your own life. Don’t let other people write your script. —Oprah Winfrey,你定义自己的生活。不要让别人为你写剧本。——奥普拉·温弗瑞
"We must let go of the life we have planned, so as to accept the one that is waiting for us. —Joseph Campbell",我们必须放弃我们已经计划好的生活，才能接受等待我们的生活。——约瑟夫·坎贝尔
"We make a living by what we get, but we make a life by what we give. —Winston Churchill",我们靠所得谋生，但靠所给予创造生活。——温斯顿·丘吉尔
Mistakes are a fact of life. It is the response to the error that counts. —Nikki Giovanni,错误是生活中的常态。重要的是对错误的反应。——Nikki Giovanni
"When I let go of what I am, I become what I might be. —Lao Tzu",当我放下现在的自己，我便成为可能成为的人。——老子
Ignore your mistakes. The number one thing to worry about is: Am I doing what I’m good at? —Max Levchin,忽略你的错误。最需要担心的是：我做的是我擅长的事情吗？——马克斯·列夫琴
"If you are not willing to risk the usual, you will have to settle for the ordinary. —Jim Rohn",如果你不愿意冒险，你就必须安于平凡。——吉姆·罗恩
"Life has no limitations, except the ones you make. —Les Brown",生活没有限制，除非你创造限制。——莱斯·布朗
"In the end, it’s not the years in your life that count. It’s life in your years. —Abraham Lincoln",最终，重要的不是你生命中的岁月，而是你生命中的生活。——亚伯拉罕·林肯
